Word,File,Count
frowning,file6.txt,48
frowning,file3.txt,2
frowning,file4.txt,6
frowning,file2.txt,1
frowning,file7.txt,5
frowning,file8.txt,4
undermining,file5.txt,1
undermining,file6.txt,3
undermining,file7.txt,1
conformed,file5.txt,4
conformed,file4.txt,1
spilling,file1.txt,2
abrupt,file5.txt,27
abrupt,file6.txt,6
abrupt,file3.txt,3
abrupt,file2.txt,1
abrupt,file7.txt,1
morcerfsstay,file4.txt,1
salary,file5.txt,9
salary,file6.txt,4
salary,file4.txt,1
salary,file2.txt,6
salary,file7.txt,1
childs,file5.txt,24
childs,file1.txt,3
childs,file6.txt,8
childs,file3.txt,3
childs,file4.txt,10
childs,file2.txt,2
childs,file7.txt,6
childs,file8.txt,3
naturalized,file5.txt,1
childe,file1.txt,1
myriel,file5.txt,30
blameworthy,file5.txt,1
blameworthy,file1.txt,1
blameworthy,file6.txt,3
pilorge,file5.txt,1
stonily,file6.txt,1
stonily,file7.txt,1
manylimbed,file6.txt,1
halyards,file1.txt,3
halyards,file4.txt,1
childa,file5.txt,1
blasts,file5.txt,1
blasts,file1.txt,1
blasts,file7.txt,1
blasts,file8.txt,1
himwhose,file6.txt,1
everquickening,file6.txt,1
bookshad,file4.txt,1
viiiin,file5.txt,2
compassionate,file5.txt,5
compassionate,file6.txt,2
compassionate,file3.txt,7
compassionate,file4.txt,1
compassionate,file7.txt,3
eldertwigs,file5.txt,1
perspicacity,file5.txt,2
perspicacity,file4.txt,1
carioles,file5.txt,1
tuesdaywell,file4.txt,1
teetotaler,file2.txt,1
snaffle,file6.txt,1
borsov,file6.txt,1
grandiloquent,file1.txt,1
grandiloquent,file6.txt,1
slatternly,file1.txt,1
flit,file5.txt,2
flit,file7.txt,1
flit,file8.txt,3
glade,file5.txt,4
glade,file6.txt,3
glade,file4.txt,3
glade,file2.txt,1
flix,file5.txt,7
ordersas,file6.txt,1
usurpers,file4.txt,4
sisterlet,file4.txt,1
stoning,file5.txt,1
venous,file5.txt,1
bibwhere,file7.txt,1
youheywhen,file7.txt,1
stiffening,file1.txt,1
stiffening,file3.txt,1
causesto,file6.txt,1
beforeand,file1.txt,1
staircase,file5.txt,54
staircase,file6.txt,11
staircase,file3.txt,22
staircase,file4.txt,78
staircase,file7.txt,23
flip,file1.txt,7
flip,file7.txt,1
nibble,file5.txt,1
a,file5.txt,14424
a,file1.txt,4697
a,file6.txt,10494
a,file3.txt,2979
a,file4.txt,9359
a,file2.txt,2683
a,file7.txt,4037
a,file8.txt,2958
b,file5.txt,23
b,file1.txt,2
b,file6.txt,10
b,file3.txt,2
b,file4.txt,2
b,file2.txt,8
b,file7.txt,4
b,file8.txt,5
rambuteau,file5.txt,4
c,file5.txt,24
c,file1.txt,5
c,file6.txt,8
c,file3.txt,6
c,file4.txt,4
c,file2.txt,8
c,file7.txt,4
c,file8.txt,7
d,file5.txt,69
d,file1.txt,3
d,file6.txt,6
d,file3.txt,2
d,file4.txt,1
d,file2.txt,6
d,file7.txt,3
d,file8.txt,10
e,file5.txt,24
e,file1.txt,24
e,file6.txt,26
e,file3.txt,23
e,file4.txt,23
e,file2.txt,24
e,file7.txt,22
e,file8.txt,28
f,file5.txt,18
f,file1.txt,11
f,file6.txt,13
f,file3.txt,11
f,file4.txt,11
f,file2.txt,12
f,file7.txt,11
f,file8.txt,15
posture,file5.txt,10
posture,file1.txt,5
posture,file3.txt,1
posture,file4.txt,3
posture,file8.txt,2
g,file5.txt,13
g,file6.txt,2
g,file3.txt,1
g,file4.txt,18
g,file2.txt,3
g,file7.txt,1
g,file8.txt,1
ninetyfirst,file5.txt,1
h,file5.txt,2
h,file1.txt,2
h,file6.txt,1
h,file4.txt,3
h,file2.txt,6
h,file8.txt,2
eugne,file5.txt,1
eugne,file6.txt,1
i,file5.txt,3588
i,file1.txt,1943
i,file6.txt,4106
i,file3.txt,1917
i,file4.txt,8198
i,file2.txt,2995
i,file7.txt,6418
i,file8.txt,4709
j,file5.txt,2
j,file1.txt,4
j,file3.txt,1
j,file2.txt,1
j,file7.txt,10
j,file8.txt,2
bettah,file6.txt,1
k,file6.txt,1
k,file2.txt,21
k,file8.txt,1
eating,file5.txt,17
eating,file1.txt,11
eating,file6.txt,19
eating,file3.txt,2
eating,file4.txt,17
eating,file7.txt,12
eating,file8.txt,3
l,file5.txt,8
l,file1.txt,1
l,file6.txt,2
l,file2.txt,1
l,file7.txt,2
l,file8.txt,2
frostbound,file6.txt,2
m,file5.txt,873
m,file6.txt,14
m,file3.txt,1
m,file4.txt,1524
m,file2.txt,1
m,file7.txt,1
m,file8.txt,12
n,file5.txt,4
n,file1.txt,1
n,file6.txt,8
n,file4.txt,6
o,file5.txt,57
o,file1.txt,28
o,file6.txt,46
o,file3.txt,36
o,file4.txt,2
o,file2.txt,1
o,file7.txt,63
o,file8.txt,10
p,file5.txt,8
p,file6.txt,1
p,file2.txt,2
p,file7.txt,4
p,file8.txt,18
marchangy,file5.txt,2
q,file5.txt,2
q,file6.txt,1
q,file8.txt,1
avare,file6.txt,1
rehung,file5.txt,1
r,file5.txt,7
r,file6.txt,1
r,file2.txt,1
r,file7.txt,1
r,file8.txt,4
s,file5.txt,4
s,file1.txt,2
s,file6.txt,10
s,file3.txt,1
s,file4.txt,2
s,file2.txt,13
s,file7.txt,1
s,file8.txt,6
t,file5.txt,14
t,file1.txt,7
t,file6.txt,2
t,file3.txt,1
t,file2.txt,2
t,file7.txt,2
t,file8.txt,1
u,file5.txt,10
u,file1.txt,1
u,file6.txt,3
u,file7.txt,3
gunshots,file5.txt,2
v,file5.txt,4
v,file1.txt,5
v,file6.txt,39
v,file3.txt,6
v,file4.txt,1
v,file2.txt,2
v,file7.txt,2
v,file8.txt,2
ofam,file4.txt,1
w,file6.txt,1
w,file4.txt,2
banditism,file5.txt,1
oncehougomont,file5.txt,1
x,file5.txt,13
x,file1.txt,1
x,file6.txt,39
x,file3.txt,4
x,file4.txt,3
x,file2.txt,2
x,file7.txt,2
x,file8.txt,3
y,file5.txt,6
y,file6.txt,3
y,file4.txt,1
y,file8.txt,1
information,file5.txt,29
information,file1.txt,10
information,file6.txt,29
information,file3.txt,19
information,file4.txt,53
information,file2.txt,16
information,file7.txt,32
information,file8.txt,18
z,file5.txt,1
z,file6.txt,2
z,file7.txt,1
z,file8.txt,1
groundplan,file1.txt,1
ofas,file4.txt,1
shoals,file5.txt,1
shoals,file1.txt,6
shoals,file8.txt,1
probalinthus,file5.txt,1
braintruck,file1.txt,1
undulate,file5.txt,1
twentyheaded,file5.txt,1
quartera,file3.txt,1
myriad,file8.txt,3
claptrap,file3.txt,1
wainscoting,file5.txt,1
staylaces,file5.txt,1
marlinspikes,file1.txt,1
pillaged,file5.txt,4
pillaged,file1.txt,1
pillaged,file6.txt,2
pillaged,file3.txt,1
amusementalmost,file6.txt,1
actionsno,file4.txt,1
thighboard,file1.txt,1
transfiguring,file5.txt,1
categorically,file5.txt,1
scholars,file5.txt,7
scholars,file1.txt,2
scholars,file7.txt,2
svyka,file6.txt,1
jeanne,file5.txt,17
waterland,file1.txt,1
aimitatin,file8.txt,1
gyges,file4.txt,1
chapelle,file8.txt,1
motive,file5.txt,6
motive,file1.txt,3
motive,file6.txt,8
motive,file3.txt,1
motive,file4.txt,18
motive,file2.txt,4
motive,file8.txt,4
adrift,file1.txt,6
adrift,file4.txt,1
adrift,file7.txt,1
shrinks,file6.txt,1
swishing,file6.txt,1
housemany,file5.txt,1
colouring,file1.txt,1
knolls,file5.txt,1
conducive,file5.txt,1
conducive,file3.txt,1
betted,file6.txt,1
betted,file7.txt,1
effeminacy,file1.txt,3
seineetoise,file5.txt,2
quarters,file5.txt,34
quarters,file1.txt,5
quarters,file6.txt,52
quarters,file3.txt,4
quarters,file4.txt,4
quarters,file2.txt,5
quarters,file8.txt,1
marchands,file5.txt,1
perilously,file5.txt,1
perilously,file1.txt,2
perilously,file4.txt,1
sibbald,file1.txt,2
better,file5.txt,131
better,file1.txt,63
better,file6.txt,162
better,file3.txt,88
better,file4.txt,159
better,file2.txt,50
better,file7.txt,130
better,file8.txt,77
sightseers,file6.txt,2
